Location,Size,Bedroom,Bath,Price,Date of Sale
Pasadena,2200,4,3.5,440000,1 month ago
Van Nuys,2100,3,2.5,433000,2 months ago
Pasadena,2200,4,3.5,455000,1 month ago
Van Nuys,2000,3,2.5,448000,4 months ago
San Diego,2600,4,4,302000,1 month ago
Burbank,1700,3,3,176000,5 months ago
San Diego,2750,5,4,401000,5 months ago
Van Nuys,1750,4,3,168000,2 months ago
Pasadena,2900,6,4,306000,1 month ago
San Diego,1150,2,2.5,159000,1 month ago
Pasadena,1500,2,2.5,171000,5 months ago
Long Beach,1250,3,2.5,156000,4 months ago
Pasadena,1100,2,2.5,174000,3 months ago
Long Beach,3050,8,4.5,458000,2 months ago
Burbank,2050,4,3,174000,4 months ago
San Diego,2700,6,4,421000,5 months ago
Riverside,1250,3,2.5,146000,4 months ago
Riverside,1100,3,2.5,173000,4 months ago
Pasadena,1700,3,3,182000,5 months ago
Burbank,3000,7,4.5,430000,1 month ago
Pasadena,1150,2,2.5,152000,2 months ago
San Diego,2450,4,4,398000,3 months ago
Burbank,3150,8,4.5,512000,2 months ago
Van Nuys,2200,4,3,196000,5 months ago
San Diego,1350,2,2.5,158000,4 months ago
Burbank,2250,5,3,234000,6 months ago
San Diego,2550,4,4,432000,4 months ago
San Diego,3050,6,4.5,481000,1 month ago
Pasadena,2600,5,4,239000,5 months ago
Long Beach,3300,8,4.5,458000,6 months ago
Burbank,2200,3,3,164000,6 months ago
Burbank,1600,4,3,205000,6 months ago
Pasadena,2800,4,4,336000,6 months ago
San Diego,1850,4,3,181000,5 months ago
San Diego,1150,2,2.5,175000,4 months ago
Riverside,2250,5,3,193000,1 month ago
Riverside,1950,3,3,224000,2 months ago
San Diego,3350,8,4.5,453000,4 months ago
Long Beach,1150,3,2.5,151000,1 month ago
San Diego,1850,3,3,242000,2 months ago
Riverside,1150,2,2.5,147000,6 months ago
Burbank,3200,6,4.5,445000,2 months ago
Van Nuys,1850,5,3,198000,1 month ago
Long Beach,1700,4,3,243000,2 months ago
San Diego,1300,2,2.5,145000,3 months ago
Long Beach,2150,3,3,247000,2 months ago
San Diego,2200,4,3,190000,3 months ago
Van Nuys,2500,5,4,251000,5 months ago
Riverside,2400,6,4,297000,4 months ago
Van Nuys,3400,7,4.5,487000,5 months ago
Van Nuys,2750,6,4,323000,1 month ago
Burbank,2850,6,4,385000,4 months ago
Pasadena,1600,5,3,242000,6 months ago
Burbank,2100,5,3,160000,4 months ago
Van Nuys,2350,5,4,240000,4 months ago
Riverside,1500,2,2.5,144000,2 months ago
San Diego,1450,2,2.5,168000,5 months ago
Burbank,2950,5,4.5,506000,3 months ago
Burbank,2000,5,3,219000,1 month ago
Burbank,3400,7,4.5,512000,3 months ago
Van Nuys,2300,3,3,162000,1 month ago
Pasadena,2800,4,4,305000,2 months ago
Pasadena,3350,6,4.5,491000,6 months ago
Riverside,1450,2,2.5,166000,1 month ago
Pasadena,2550,6,4,428000,5 months ago
Pasadena,2150,5,3,224000,6 months ago
Riverside,2400,6,4,415000,2 months ago
Riverside,2050,4,3,167000,3 months ago
San Diego,1400,2,2.5,175000,2 months ago
Pasadena,1750,4,3,240000,6 months ago
Pasadena,2000,4,3,182000,4 months ago
Burbank,2250,4,3,203000,5 months ago
Long Beach,3150,6,4.5,467000,5 months ago
San Diego,1750,5,3,150000,3 months ago
Riverside,2650,4,4,373000,4 months ago
Van Nuys,1500,3,2.5,172000,2 months ago
San Diego,3100,8,4.5,477000,1 month ago
Pasadena,3350,6,4.5,498000,2 months ago
Van Nuys,2900,4,4,251000,4 months ago
Pasadena,2800,5,4,289000,5 months ago
San Diego,3150,8,4.5,432000,3 months ago
Long Beach,3350,5,4.5,474000,1 month ago
San Diego,1400,3,2.5,174000,4 months ago
Van Nuys,2850,4,4,376000,3 months ago
Pasadena,2200,4,3,164000,5 months ago
Pasadena,2400,5,4,287000,6 months ago
San Diego,3000,8,4.5,473000,1 month ago
San Diego,1700,5,3,161000,2 months ago
Van Nuys,1350,3,2.5,148000,1 month ago
Pasadena,2200,4,3,226000,5 months ago
San Diego,1250,2,2.5,145000,5 months ago
San Diego,3300,8,4.5,419000,2 months ago
Riverside,2550,6,4,250000,4 months ago
San Diego,3050,8,4.5,465000,6 months ago
